Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/training-db/fires,428,0,1600.0,1755.883177570425,281.00000000267755,4062.999999994645,554912.5490654205,5.043953486529421,0.0,1700,2200,2400,2600,2700,2800,3100,3200,4100,4100,4100
POST,/training-db/fires,20,0,300.0,294.50000000433647,281.00000000267755,343.99999999732245,40.0,0.23569876105277668,0.0,300,300,300,300,310,340,340,340,340,340,340
PUT,/training-db/fires,20,2,590.0,617.2499999964202,577.9999999940628,1046.9999999913853,71.3,0.23569876105277668,0.02356987610527767,590,590,610,610,700,1000,1000,1000,1000,1000,1000
,Aggregated,468,2,1400.0,1644.771367521703,281.00000000267755,4062.999999994645,507488.8824786325,5.515351008634974,0.02356987610527767,1400,2200,2300,2500,2600,2800,3000,3200,4100,4100,4100
